AccountingDate,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson,SubmittedDate,EmployerName,CompanyNumber,Address1,Address2,Address3,Country,PostCode,PoBox,SicCodes
04/04/2014 00:00:00,59.00,74.00,20.00,67.00,10.00,38.00,26.00,52.00,96.00,13.00,55.00,6.00,2.00,20.00,https://AA&AAUTOSLTD.co.uk/GPGData,Firstname67 Lastname67 (Jobtitle 67),27/04/2014 00:00:00,A A & A AUTOS LTD,07045770,Savillebridge Mills,Mill Street East,Dewsbury,,WF12 9BQ,,45200
04/04/2014 00:00:00,80.00,29.00,100.00,67.00,16.00,15.00,64.00,26.00,63.00,0.00,90.00,23.00,24.00,9.00,https://AA&ASTEPHEN(BURPHAM)LTD..co.uk/GPGData,Firstname68 Lastname68 (Jobtitle 68),27/06/2014 00:00:00,A A & A STEPHEN (BURPHAM) LTD.,02456235,Cullerne Close,Ewell,Epsom,,KT17 1XY,,
04/04/2014 00:00:00,67.00,84.00,32.00,28.00,36.00,17.00,17.00,41.00,70.00,55.00,53.00,38.00,78.00,58.00,https://AA&CMANAGEMENTLIMITED.co.uk/GPGData,Firstname69 Lastname69 (Jobtitle 69),04/09/2014 00:00:00,A A & C MANAGEMENT LIMITED,03135170,Royal Crescent,,Bath,,BA1 2LR,,70100
04/04/2014 00:00:00,51.00,4.00,37.00,94.00,28.00,13.00,53.00,100.00,24.00,8.00,41.00,79.00,85.00,75.00,https://AA&DFRASERLIMITED.co.uk/GPGData,Firstname70 Lastname70 (Jobtitle 70),30/09/2014 00:00:00,A A & D FRASER LIMITED,SC474087,Rearquhar,,Dornoch,,IV25 3NE,,"1500,42990"
04/04/2014 00:00:00,95.00,97.00,77.00,17.00,33.00,75.00,44.00,13.00,85.00,20.00,68.00,88.00,35.00,69.00,https://AA&EVALIMITED.co.uk/GPGData,Firstname71 Lastname71 (Jobtitle 71),01/06/2014 00:00:00,A A & EVA LIMITED,07723236,Floor 112-116 Whitechapel Road,,London,England,E1 1JE,,46310
04/04/2014 00:00:00,89.00,19.00,71.00,70.00,24.00,74.00,89.00,91.00,58.00,57.00,19.00,64.00,36.00,75.00,https://AAACCONSULTINGLIMITED.co.uk/GPGData,Firstname64 Lastname64 (Jobtitle 64),20/08/2014 00:00:00,A A A C CONSULTING LIMITED,09336860,St. Aubyns,,Hove,England,BN3 2TE,,64999
04/04/2014 00:00:00,76.00,51.00,43.00,94.00,16.00,38.00,98.00,52.00,65.00,64.00,88.00,51.00,4.00,55.00,https://AAALETTING&MAINTENANCELTD.co.uk/GPGData,Firstname65 Lastname65 (Jobtitle 65),13/04/2014 00:00:00,A A A LETTING & MAINTENANCE LTD,08312819,West Avenue,,Exeter,,EX4 4SD,,68201
04/04/2014 00:00:00,65.00,89.00,87.00,76.00,10.00,93.00,11.00,72.00,20.00,53.00,32.00,5.00,21.00,79.00,https://AAABBEYROOFING&BUILDINGCONTRACTORSLTD.co.uk/GPGData,Firstname63 Lastname63 (Jobtitle 63),03/10/2014 00:00:00,A A ABBEY ROOFING & BUILDING CONTRACTORS LTD,07676340,Caer Street,,Swansea,,SA1 3PP,,43991
04/04/2014 00:00:00,64.00,33.00,80.00,95.00,83.00,56.00,82.00,49.00,73.00,55.00,37.00,78.00,99.00,71.00,https://AAAMUSEMENTSLIMITED.co.uk/GPGData,Firstname66 Lastname66 (Jobtitle 66),27/01/2015 00:00:00,A A AMUSEMENTS LIMITED,08950239,Holbeach Drove,,Spalding,,PE12 0PX,,"47910,63120"
04/04/2014 00:00:00,14.00,45.00,1.00,8.00,16.00,37.00,93.00,54.00,94.00,40.00,66.00,26.00,100.00,98.00,https://ALIMITED.co.uk/GPGData,Firstname62 Lastname62 (Jobtitle 62),15/02/2015 00:00:00,A LIMITED,05438136,Windsor Avenue,,London,,SW19 2RR,,
01/04/2014 00:00:00,56.00,35.00,8.00,4.00,35.00,6.00,23.00,60.00,38.00,83.00,40.00,58.00,15.00,6.00,https://AccountantinBankruptcy.co.uk/GPGData,Firstname493 Lastname493 (Jobtitle 493),19/09/2014 00:00:00,Accountant in Bankruptcy,,Address line 493,,City493,Country493,Post Code493,,1
01/04/2014 00:00:00,11.00,75.00,64.00,98.00,40.00,20.00,54.00,47.00,82.00,19.00,47.00,98.00,67.00,72.00,https://AdvisoryConciliationandArbitrationService.co.uk/GPGData,Firstname494 Lastname494 (Jobtitle 494),21/03/2015 00:00:00,Advisory Conciliation and Arbitration Service,,Address line 494,,City494,Country494,Post Code494,,1
01/04/2014 00:00:00,63.00,37.00,97.00,83.00,64.00,1.00,77.00,36.00,90.00,67.00,42.00,32.00,87.00,64.00,https://AirAccidentsInvestigationBranch.co.uk/GPGData,Firstname495 Lastname495 (Jobtitle 495),05/03/2015 00:00:00,Air Accidents Investigation Branch,,Address line 495,,City495,Country495,Post Code495,,1
01/04/2014 00:00:00,48.00,22.00,8.00,89.00,33.00,48.00,87.00,6.00,59.00,59.00,79.00,50.00,6.00,47.00,https://AlbrightonParishCouncil.co.uk/GPGData,Firstname496 Lastname496 (Jobtitle 496),04/11/2014 00:00:00,Albrighton Parish Council,,Address line 496,,City496,Country496,Post Code496,,1
01/04/2014 00:00:00,0.00,0.00,74.00,68.00,86.00,67.00,51.00,21.00,83.00,89.00,100.00,13.00,73.00,75.00,https://AlconburyParishCouncil.co.uk/GPGData,Firstname497 Lastname497 (Jobtitle 497),10/04/2014 00:00:00,Alconbury Parish Council,,Address line 497,,City497,Country497,Post Code497,,1
01/04/2014 00:00:00,75.00,23.00,12.00,38.00,75.00,40.00,92.00,31.00,39.00,73.00,84.00,9.00,6.00,45.00,https://AlderburyParishCouncil.co.uk/GPGData,Firstname498 Lastname498 (Jobtitle 498),23/11/2014 00:00:00,Alderbury Parish Council,,Address line 498,,City498,Country498,Post Code498,,1
01/04/2014 00:00:00,82.00,74.00,11.00,71.00,87.00,29.00,85.00,75.00,89.00,34.00,52.00,90.00,96.00,66.00,https://AldingtonandBonningtonParishCouncil.co.uk/GPGData,Firstname499 Lastname499 (Jobtitle 499),01/01/2015 00:00:00,Aldington and Bonnington Parish Council,,Address line 499,,City499,Country499,Post Code499,,1
01/04/2014 00:00:00,43.00,13.00,28.00,27.00,86.00,93.00,66.00,100.00,91.00,22.00,74.00,25.00,6.00,20.00,https://AlkboroughandWalcotParishCouncil.co.uk/GPGData,Firstname500 Lastname500 (Jobtitle 500),03/06/2014 00:00:00,Alkborough and Walcot Parish Council,,Address line 500,,City500,Country500,Post Code500,,1
01/04/2014 00:00:00,88.00,51.00,50.00,88.00,0.00,2.00,55.00,16.00,35.00,39.00,78.00,66.00,28.00,81.00,https://AllbrookandNorthBoyattParishCouncil.co.uk/GPGData,Firstname501 Lastname501 (Jobtitle 501),29/12/2014 00:00:00,Allbrook and North Boyatt Parish Council,,Address line 501,,City501,Country501,Post Code501,,1
01/04/2014 00:00:00,45.00,66.00,94.00,78.00,38.00,53.00,99.00,7.00,86.00,10.00,64.00,52.00,59.00,75.00,https://AllerdaleBoroughCouncil.co.uk/GPGData,Firstname502 Lastname502 (Jobtitle 502),20/12/2014 00:00:00,Allerdale Borough Council,,Address line 502,,City502,Country502,Post Code502,,1
01/04/2014 00:00:00,95.00,58.00,55.00,49.00,57.00,40.00,69.00,51.00,60.00,47.00,90.00,36.00,74.00,36.00,https://AshwellParishCouncil.co.uk/GPGData,Firstname369 Lastname369 (Jobtitle 369),16/10/2014 00:00:00,Ashwell Parish Council,,Address line 369,,City369,Country369,Post Code369,,1
01/04/2014 00:00:00,50.00,60.00,74.00,75.00,37.00,16.00,36.00,27.00,56.00,83.00,40.00,25.00,83.00,37.00,https://AspirationsAcademiesTrust.co.uk/GPGData,Firstname370 Lastname370 (Jobtitle 370),27/03/2015 00:00:00,Aspirations Academies Trust,,Address line 370,,City370,Country370,Post Code370,,1
01/04/2014 00:00:00,91.00,75.00,96.00,63.00,19.00,3.00,79.00,65.00,58.00,7.00,51.00,71.00,53.00,43.00,https://AspleyGuiseParishCouncil.co.uk/GPGData,Firstname371 Lastname371 (Jobtitle 371),07/08/2014 00:00:00,Aspley Guise Parish Council,,Address line 371,,City371,Country371,Post Code371,,1
01/04/2014 00:00:00,36.00,10.00,15.00,31.00,17.00,79.00,100.00,94.00,67.00,41.00,8.00,43.00,29.00,18.00,https://AssociationofGreaterManchesterAuthorities.co.uk/GPGData,Firstname372 Lastname372 (Jobtitle 372),01/07/2014 00:00:00,Association of Greater Manchester Authorities,,Address line 372,,City372,Country372,Post Code372,,1
01/04/2014 00:00:00,3.00,4.00,93.00,57.00,33.00,68.00,79.00,12.00,94.00,28.00,16.00,61.00,59.00,46.00,https://AssociationofNationalParkAuthorities.co.uk/GPGData,Firstname373 Lastname373 (Jobtitle 373),19/03/2015 00:00:00,Association of National Park Authorities,,Address line 373,,City373,Country373,Post Code373,,1
01/04/2014 00:00:00,97.00,94.00,84.00,29.00,8.00,5.00,95.00,63.00,99.00,32.00,61.00,21.00,7.00,87.00,https://AssociationofNorthEastCouncilsLimited.co.uk/GPGData,Firstname374 Lastname374 (Jobtitle 374),02/06/2014 00:00:00,Association of North East Councils Limited,,Address line 374,,City374,Country374,Post Code374,,1
01/04/2014 00:00:00,23.00,12.00,0.00,13.00,18.00,77.00,12.00,58.00,15.00,30.00,21.00,55.00,44.00,31.00,https://AstonleWallsParishCouncil.co.uk/GPGData,Firstname375 Lastname375 (Jobtitle 375),10/03/2015 00:00:00,Aston le Walls Parish Council,,Address line 375,,City375,Country375,Post Code375,,1
01/04/2014 00:00:00,62.00,90.00,52.00,13.00,97.00,18.00,69.00,77.00,12.00,98.00,89.00,39.00,66.00,100.00,https://Aston-cum-AughtonParishCouncil.co.uk/GPGData,Firstname376 Lastname376 (Jobtitle 376),29/08/2014 00:00:00,Aston-cum-Aughton Parish Council,,Address line 376,,City376,Country376,Post Code376,,1
01/04/2014 00:00:00,62.00,81.00,91.00,64.00,14.00,37.00,80.00,29.00,65.00,22.00,62.00,17.00,67.00,14.00,https://AtherstoneTownCouncil.co.uk/GPGData,Firstname377 Lastname377 (Jobtitle 377),05/01/2015 00:00:00,Atherstone Town Council,,Address line 377,,City377,Country377,Post Code377,,1
01/04/2014 00:00:00,87.00,39.00,56.00,99.00,54.00,59.00,12.00,54.00,48.00,6.00,29.00,35.00,10.00,77.00,https://AuditScotland.co.uk/GPGData,Firstname378 Lastname378 (Jobtitle 378),31/10/2014 00:00:00,Audit Scotland,,Address line 378,,City378,Country378,Post Code378,,1
